index,MMSI,Lat,Lon
300,563759000,28.93211,-93.49984
301,563759000,28.93211,-93.49984
302,563759000,28.93211,-93.49984
303,563759000,28.93211,-93.49984
304,563759000,28.92904,-93.49729
305,563759000,28.92665,-93.495285
306,563759000,28.92426,-93.49328
307,563759000,28.92127,-93.49072
308,563759000,28.91928,-93.489095
309,563759000,28.91729,-93.48747
310,563759000,28.914905,-93.48546
311,563759000,28.91252,-93.48345
312,563759000,28.90795,-93.47941
313,563759000,28.906655,-93.478285
314,563759000,28.90536,-93.47716
315,563759000,28.90147,-93.47383
316,563759000,28.899495,-93.472155
317,563759000,28.89752,-93.47048
318,563759000,28.89366,-93.46708
319,563759000,28.891745,-93.46538
320,563759000,28.88983,-93.46368
321,563759000,28.88686,-93.46108
322,563759000,28.88301,-93.45773
323,563759000,28.87996,-93.45514
324,563759000,28.877385,-93.452895
325,563759000,28.87481,-93.45065
326,563759000,28.87252333,-93.44866667
327,563759000,28.87023667,-93.44668333
328,563759000,28.86795,-93.4447
329,563759000,28.8652,-93.44218
330,563759000,28.8618,-93.43918
331,563759000,28.85982,-93.43753
332,563759000,28.85784,-93.43588
333,563759000,28.85422,-93.43281
334,563759000,28.85224333,-93.43111333
335,563759000,28.85026667,-93.42941667
336,563759000,28.84829,-93.42772
337,563759000,28.84527,-93.42518
338,563759000,28.84226,-93.42263
339,563759000,28.83971333,-93.42047333
340,563759000,28.83716667,-93.41831667
341,563759000,28.83462,-93.41616
342,563759000,28.83208,-93.414056
343,563759000,28.82954,-93.411952
344,563759000,28.827,-93.409848
345,563759000,28.82446,-93.407744
346,563759000,28.82192,-93.40564
347,563759000,28.81813,-93.4024
348,563759000,28.81527,-93.40001
349,563759000,28.81148,-93.39677
350,563759000,28.80879,-93.39447
351,563759000,28.807145,-93.393095
352,563759000,28.8055,-93.39172
353,563759000,28.80242,-93.38909
354,563759000,28.79979667,-93.38684
355,563759000,28.79717333,-93.38459
356,563759000,28.79455,-93.38234
357,563759000,28.79138,-93.37975
358,563759000,28.78798,-93.37691
359,563759000,28.7848,-93.37418
360,563759000,28.78343,-93.37304
361,563759000,28.77989,-93.37006
362,563759000,28.77687,-93.36759
363,563759000,28.7741,-93.36526
364,563759000,28.772335,-93.363755
365,563759000,28.77057,-93.36225
366,563759000,28.76688,-93.35918
367,563759000,28.76391667,-93.35664667
368,563759000,28.76095333,-93.35411333
369,563759000,28.75799,-93.35158
370,563759000,28.755975,-93.349915
371,563759000,28.75396,-93.34825
372,563759000,28.75149,-93.346185
373,563759000,28.74902,-93.34412
374,563759000,28.74549,-93.34116
375,563759000,28.74248,-93.33862
376,563759000,28.73934,-93.33589
377,563759000,28.737815,-93.334675
378,563759000,28.73629,-93.33346
379,563759000,28.73349,-93.33106
380,563759000,28.72914,-93.32741
381,563759000,28.72668,-93.325345
382,563759000,28.72422,-93.32328
383,563759000,28.72176,-93.321215
384,563759000,28.7193,-93.31915
385,563759000,28.71577,-93.31617
386,563759000,28.71296,-93.31378
387,563759000,28.71044,-93.311625
388,563759000,28.70792,-93.30947
389,563759000,28.70516,-93.30711
390,563759000,28.703575,-93.30579
391,563759000,28.70199,-93.30447
392,563759000,28.69904,-93.30195
393,563759000,28.6959,-93.29918
394,563759000,28.693,-93.29673
395,563759000,28.6891,-93.29336
396,563759000,28.687285,-93.291805
397,563759000,28.68547,-93.29025
398,563759000,28.68161,-93.287
399,563759000,28.67843,-93.28427
400,563759000,28.67669,-93.282785
401,563759000,28.67495,-93.2813
402,563759000,28.67185,-93.27871
403,563759000,28.66878,-93.2761
404,563759000,28.66579,-93.27349
405,563759000,28.66413,-93.272055
406,563759000,28.66247,-93.27062
407,563759000,28.65898,-93.26766
408,563759000,28.65589,-93.26511
409,563759000,28.65241,-93.26211
410,563759000,28.65085,-93.260775
411,563759000,28.64929,-93.25944
412,563759000,28.64655,-93.25705
413,563759000,28.64277,-93.25378
414,563759000,28.63995,-93.25143
415,563759000,28.63804,-93.249815
416,563759000,28.63613,-93.2482
417,563759000,28.63299,-93.24555
418,563759000,28.63015,-93.24318
419,563759000,28.62724,-93.24074
420,563759000,28.62577,-93.23945
421,563759000,28.62286,-93.23694
422,563759000,28.61963,-93.23413
423,563759000,28.61626,-93.2311
424,563759000,28.61284,-93.22821
425,563759000,28.61127,-93.226895
426,563759000,28.6097,-93.22558
427,563759000,28.60614,-93.22257
428,563759000,28.60341,-93.22021
429,563759000,28.59954,-93.21688
430,563759000,28.598035,-93.215565
431,563759000,28.59653,-93.21425
432,563759000,28.5938,-93.21179
433,563759000,28.58965,-93.20821
434,563759000,28.58654,-93.20556
435,563759000,28.58518,-93.204365
436,563759000,28.58382,-93.20317
437,563759000,28.58032,-93.20019
438,563759000,28.57749,-93.19769
439,563759000,28.57447,-93.19501
440,563759000,28.57135,-93.1923
441,563759000,28.5683,-93.18965
442,563759000,28.5668,-93.188355
443,563759000,28.5653,-93.18706
444,563759000,28.56257,-93.1847
445,563759000,28.55978,-93.18231
446,563759000,28.55682,-93.17975
447,563759000,28.55278,-93.17629
448,563759000,28.54965,-93.17355
449,563759000,28.54695,-93.17123
450,563759000,28.54543,-93.169915
451,563759000,28.54391,-93.1686
452,563759000,28.54117,-93.16622
453,563759000,28.53813,-93.16363
454,563759000,28.53501,-93.16096
455,563759000,28.53221,-93.15858
456,563759000,28.52884,-93.15569
457,563759000,28.52579,-93.1531
458,563759000,28.524015,-93.15163
459,563759000,28.52224,-93.15016
460,563759000,28.51901,-93.14749
461,563759000,28.516615,-93.14544
462,563759000,28.51422,-93.14339
463,563759000,28.51126,-93.14091
464,563759000,28.50849,-93.13855
465,563759000,28.50541,-93.13596
466,563759000,28.50274,-93.13375
467,563759000,28.49969,-93.13116
468,563759000,28.4969,-93.12883
469,563759000,28.49386,-93.12633
470,563759000,28.49228,-93.12503
471,563759000,28.4907,-93.12373
472,563759000,28.48751,-93.12111
473,563759000,28.48337,-93.11763
474,563759000,28.48064,-93.11525
475,563759000,28.47764,-93.11271
476,563759000,28.4762,-93.111505
477,563759000,28.47476,-93.1103
478,563759000,28.47177,-93.10781
479,563759000,28.46895,-93.10542
480,563759000,28.46419,-93.10143
481,563759000,28.462775,-93.10024
482,563759000,28.46136,-93.09905
483,563759000,28.45834,-93.09655
484,563759000,28.45534,-93.09403
485,563759000,28.45226,-93.09144
486,563759000,28.44918,-93.08889
487,563759000,28.44605,-93.08627
488,563759000,28.44427,-93.084815
489,563759000,28.44249,-93.08336
490,563759000,28.43938,-93.08081
491,563759000,28.43584,-93.07793
492,563759000,28.43274,-93.07539
493,563759000,28.43093,-93.073865
494,563759000,28.42912,-93.07234
495,563759000,28.42608,-93.06985
496,563759000,28.42327,-93.06756
497,563759000,28.42034,-93.06511
498,563759000,28.41754,-93.0628
499,563759000,28.41462,-93.06033
500,563759000,28.41181,-93.0579
501,563759000,28.40875,-93.05539
502,563759000,28.4057,-93.05285
503,563759000,28.404,-93.05142
504,563759000,28.4023,-93.04999
505,563759000,28.39955,-93.04769
506,563759000,28.39661,-93.04524
507,563759000,28.39396,-93.04299
508,563759000,28.39122,-93.04065
509,563759000,28.38822,-93.03814
510,563759000,28.38527,-93.03569
511,563759000,28.38249,-93.03338
512,563759000,28.38073,-93.0319
513,563759000,28.37897,-93.03042
514,563759000,28.37585,-93.02782
515,563759000,28.3734,-93.025785
516,563759000,28.37095,-93.02375
517,563759000,28.36789,-93.02124
518,563759000,28.3651,-93.01891
519,563759000,28.36119,-93.01564
520,563759000,28.35845,-93.01334
521,563759000,28.35576,-93.01107
522,563759000,28.35272,-93.00851
523,563759000,28.351215,-93.007265
524,563759000,28.34971,-93.00602
525,563759000,28.34665,-93.00347
526,563759000,28.34381,-93.00108
527,563759000,28.34081,-92.99859
528,563759000,28.33806,-92.99628
529,563759000,28.3351,-92.99375
530,563759000,28.33227,-92.99138
531,563759000,28.32929,-92.98892
532,563759000,28.32652,-92.98666
533,563759000,28.32354,-92.98421
534,563759000,28.322105,-92.98303
535,563759000,28.32067,-92.98185
536,563759000,28.31771,-92.97934
537,563759000,28.31498,-92.97701
538,563759000,28.31201,-92.97452
