index,MMSI,Lat,Lon
300,309697000,28.68865,-93.64147
301,309697000,28.68865,-93.64147
302,309697000,28.687465,-93.638705
303,309697000,28.68628,-93.63594
304,309697000,28.68457,-93.63198
305,309697000,28.683215,-93.628885
306,309697000,28.68186,-93.62579
307,309697000,28.68015,-93.62183
308,309697000,28.67843,-93.6178
309,309697000,28.67668,-93.61385
310,309697000,28.67471,-93.60934
311,309697000,28.673335,-93.606635
312,309697000,28.67196,-93.60393
313,309697000,28.66948,-93.59996
314,309697000,28.668365,-93.598195
315,309697000,28.66725,-93.59643
316,309697000,28.66464,-93.59233
317,309697000,28.66243,-93.58887
318,309697000,28.65982,-93.58486
319,309697000,28.658695,-93.583135
320,309697000,28.65757,-93.58141
321,309697000,28.65496,-93.57729
322,309697000,28.65241,-93.57337
323,309697000,28.65016,-93.56997
324,309697000,28.64903,-93.56822
325,309697000,28.6479,-93.56647
326,309697000,28.6459,-93.56336
327,309697000,28.64271,-93.55833
328,309697000,28.641415,-93.556345
329,309697000,28.64012,-93.55436
330,309697000,28.63719,-93.54983
331,309697000,28.63494,-93.54628
332,309697000,28.63366,-93.544235
333,309697000,28.63238,-93.54219
334,309697000,28.62987,-93.53817
335,309697000,28.62734,-93.53406
336,309697000,28.62591,-93.53179
337,309697000,28.62448,-93.52952
338,309697000,28.6223,-93.52603
339,309697000,28.6194,-93.52151
340,309697000,28.61811,-93.51945
341,309697000,28.61682,-93.51739
342,309697000,28.614905,-93.51434
343,309697000,28.61299,-93.51129
344,309697000,28.61079,-93.50779
345,309697000,28.609185,-93.50527
346,309697000,28.60758,-93.50275
347,309697000,28.60508,-93.4987
348,309697000,28.60255,-93.49457
349,309697000,28.60041,-93.49102
350,309697000,28.59929,-93.489205
351,309697000,28.59817,-93.48739
352,309697000,28.596,-93.48379
353,309697000,28.59386,-93.48032
354,309697000,28.59196,-93.47725
355,309697000,28.59006,-93.47418
356,309697000,28.58752,-93.47001
357,309697000,28.586265,-93.46798
358,309697000,28.58501,-93.46595
359,309697000,28.58273,-93.46229
360,309697000,28.58053,-93.45873
361,309697000,28.57827,-93.45501
362,309697000,28.57612,-93.45151
363,309697000,28.57485,-93.44944
364,309697000,28.57358,-93.44737
365,309697000,28.57141,-93.44386
366,309697000,28.56922,-93.44029
367,309697000,28.56719,-93.436925
368,309697000,28.56516,-93.43356
369,309697000,28.56297,-93.42997
370,309697000,28.56074,-93.42638
371,309697000,28.55962,-93.424555
372,309697000,28.5585,-93.42273
373,309697000,28.55635,-93.41916
374,309697000,28.55412,-93.41551
375,309697000,28.55196,-93.41195
376,309697000,28.54976,-93.40842
377,309697000,28.54741,-93.40503
378,309697000,28.54563,-93.40276
379,309697000,28.54385,-93.40049
380,309697000,28.54133,-93.39733
381,309697000,28.53968,-93.39524
382,309697000,28.53803,-93.39315
383,309697000,28.53516,-93.38942
384,309697000,28.53256,-93.38615
385,309697000,28.52997,-93.38291
386,309697000,28.528695,-93.38131
387,309697000,28.52742,-93.37971
388,309697000,28.52485,-93.37644
389,309697000,28.52231,-93.37322
390,309697000,28.51978,-93.37001
391,309697000,28.51687,-93.36633
392,309697000,28.51557,-93.36472
393,309697000,28.51427,-93.36311
394,309697000,28.51056,-93.35842
395,309697000,28.50796,-93.35514
396,309697000,28.50634,-93.35309
397,309697000,28.50472,-93.35104
398,309697000,28.50213,-93.34774
399,309697000,28.49965,-93.34454
400,309697000,28.49725,-93.34132
401,309697000,28.495835,-93.33941
402,309697000,28.49442,-93.3375
403,309697000,28.49202,-93.33424
404,309697000,28.4899,-93.3314
405,309697000,28.48748,-93.32806
406,309697000,28.4847,-93.32425
407,309697000,28.48346,-93.32252
408,309697000,28.48222,-93.32079
409,309697000,28.47946,-93.31686
410,309697000,28.47709,-93.31347
411,309697000,28.47468,-93.3101
412,309697000,28.47224,-93.30672
413,309697000,28.471045,-93.305
